"날짜","미국 수익 ($)","일본 수익 ($)","독일 수익 ($)","프랑스 수익 ($)","대한민국 수익 ($)","이탈리아 수익 ($)","멕시코 수익 ($)","브라질 수익 ($)","스페인 수익 ($)"
"2025-01-01","462906.13","161744.38","100274.54","68813.02","137241.38","51674.84","69914","40621.23","29291.64"
"2025-01-02","828688.74","136084.39","197282.48","153032.88","148733.53","135054.73","120545.23","106463.11","112076.63"
"2025-01-03","887484.16","191676.55","196721.48","158083.89","126673","110418.1","86235.48","63822.79","92154.84"
"2025-01-04","604475.34","154752.25","183238.32","131463.03","110723.77","85760.02","101137.86","50271.99","60240.89"
"2025-01-05","493664.63","119244.71","198079.04","89291.48","87841.51","65902.69","70771.96","41943.42","53408.33"
"2025-01-06","350782.02","107606.87","162842.93","74407.56","83460.83","69216.82","153880.91","30919.09","74764.26"
"2025-01-07","286891.23","108778.97","135753.36","76205.71","102278.02","55291.03","83468.49","32170.95","61712.08"
"2025-01-08","303521.52","97182.77","98339.17","69482.05","86793.46","40915.82","49862.69","35672.01","44141.15"
"2025-01-09","335497.55","89166.23","80601.45","67152.58","76940.53","38363.43","60162.28","31898.95","43073.77"
"2025-01-10","413340.71","104573.8","101960.81","70553.13","76108.99","47258.5","69862.87","36805.76","47849.44"
"2025-01-11","391162.16","100142.09","102625.12","72717.94","74236.88","41854.29","61296.5","34667.35","38977.4"
"2025-01-12","317922.02","101413.28","100285.59","62033.86","64882.73","35661.65","58332.7","35936.39","36076.5"
"2025-01-13","229905.31","85130.8","71358.82","46932.91","56131.64","25734.74","37534.31","29190.21","25558.66"
"2025-01-14","232763.54","65994.56","71873.63","50835.9","54662.7","26652.35","32615.54","31085.62","23091.12"
"2025-01-15","202589.46","71693.09","71770.68","52109.36","55637.19","30906.6","29433.02","31314.27","22482.09"
"2025-01-16","212375.37","74402.88","71604.75","54111.19","59690.7","28953.31","24610.55","31179.67","20431.64"
"2025-01-17","318338.11","73623.77","84234.08","47515","58880.74","34036.63","36683.68","33895.61","22572.37"
"2025-01-18","325707.38","83543.31","82920.29","56042.15","59789.81","33020.66","32050.17","30325.88","21431.87"
"2025-01-19","323486.57","77018.08","74152.43","67110.8","50341.57","28747.34","27455.56","25617.64","19577.03"
"2025-01-20","273066.83","69408.97","60821.6","47567.75","55580.64","25230.43","26288.32","29433.8","17198.76"
"2025-01-21","209227.63","64401.62","61029.44","44303.35","49767.38","25667.69","22171.74","28100.46","17234.36"
"2025-01-22","187528.01","59942.66","61166.82","52190.99","45381.95","24899.78","23947.35","25010.83","16508.47"
"2025-01-23","211877.64","63218.57","66212.29","51074.2","51746.39","27245.93","23750.52","30421.35","21439.07"
"2025-01-24","263399","90767.7","81098.4","51121.81","67590.73","36243.4","29839.39","34802.71","24561.02"
"2025-01-25","339711.38","104235.81","90529.35","68744.81","63901.27","37716.88","36799.59","37881.74","29212.46"
"2025-01-26","331454.4","100472.51","84970.32","63360.1","66178.56","36463.09","41361.2","36181.89","27767.84"
"2025-01-27","267847.33","93071.21","71460.8","52598.47","79867.76","30610.06","33589.19","31073","25077.39"
"2025-01-28","216334.33","111296.63","68786.89","49192.76","88224.79","28341.59","33220.86","29835.41","20306.93"
"2025-01-29","242078.33","87645.53","72465.26","50157.05","111499.87","27118.02","36192.93","31806.54","20658.29"
"2025-01-30","331006.01","91012.78","91512.47","58237.04","113131.92","29765.32","39094.5","37264.57","22766.76"
"2025-01-31","409587.61","148782.29","107862.81","57096.36","143279.17","30192.17","34904.12","37803.29","23732.32"
"2025-02-01","368102.87","220913.1","116346.4","67205.29","140919.23","36737.12","36501.13","41265.34","23035.74"
"2025-02-02","314259.97","118367.35","89352.88","71061.94","104043.75","28822.69","29998.13","37822.56","23186.82"
"2025-02-03","207798.2","81033.66","73080.73","46728.43","73944.82","24367.56","25790.86","25618.02","16495.23"
"2025-02-04","180791.35","65032.81","66094","44878.08","56159.84","23365.79","20270.55","26212.41","17536.78"
"2025-02-05","237965.3","52075.81","67693.33","48085.25","54929.25","24261.26","22820.24","29256.3","18313.83"
"2025-02-06","650349.55","188501.2","135345.19","111056.54","110884.24","70620.5","58812.49","49374.66","62723.66"
"2025-02-07","666582.61","240688.42","160310.53","119979.29","122643.99","62805.45","74732.79","47915.94","44683.56"
"2025-02-08","547236.07","178746.11","142102.48","139448.97","108530.11","56401.91","66868.65","45226.67","40375.71"
"2025-02-09","380542.58","146957.43","111262.51","100378.47","80365.47","38297.57","66745.54","38191.12","30994.48"
"2025-02-10","353853.63","123631.3","105692.9","79670.97","87838.4","38314.3","51581.51","31717.25","29383.71"
"2025-02-11","280967.31","108294.01","92016.5","66934.06","84132.39","30905.73","38608.51","31360.05","25249.71"
"2025-02-12","225986.89","86325.02","83703.05","59132.61","69082.59","28934.57","45080.66","30646.57","20605.07"
"2025-02-13","234695.95","70933.07","76704.01","57316.23","56381.13","28766.54","49265.38","29871.95","18585.57"
"2025-02-14","302972.49","76842.07","75903.32","54325.3","58707.84","29697.23","46549.52","32850.55","19177.42"
"2025-02-15","321476.21","84855.6","76702.16","63496.83","55904.7","31243.19","53981.66","39436.52","17054.51"
"2025-02-16","242128.89","72867.01","64341.13","55265.57","46501.01","25758.85","44074.86","31719.06","15162.84"
"2025-02-17","205744.31","70787.93","50629.44","46834.41","38387.33","21298.46","32881.23","23252.04","13219.95"
"2025-02-18","162343.58","42168.4","45133.67","39475.02","34944.05","19364.26","25924.18","21362.02","10917.83"
"2025-02-19","176523.27","51843.59","48343.67","37034.44","34496.83","20242.61","29662.74","23145.15","12307.34"
"2025-02-20","294199.83","61606.67","55857.12","40691.2","48656.52","21761.07","31155.96","24971.47","14495.78"
"2025-02-21","298219.54","111309.85","74871.04","49362.07","54824.07","24990.14","39227.21","26845.76","16635.31"
"2025-02-22","258355.07","114232.18","69671","56040.99","50715.52","26955.47","47101.57","28791.07","19625"
"2025-02-23","243622.66","93395.3","65388.16","53402.55","46740.26","23202.89","48579","26402.96","18826.34"
"2025-02-24","224567.37","71954.94","53007.31","53368.78","47269.38","21822.65","50937.46","22464.83","19127.1"
"2025-02-25","752165.38","137253.26","130914.72","139353.73","97692.4","67693.98","57729.41","47264.44","73484.1"
"2025-02-26","730504.55","178863.21","144427.38","187503.97","110236.07","55763.91","59059.37","36719.03","49859.39"
"2025-02-27","618251.17","165371.86","142295.46","102852.17","99770.51","46364.13","59143.15","35668.5","42197.39"
"2025-02-28","712214.16","165375.26","158099.28","128630.67","133213.42","52138.23","49550.43","43339.5","38010.68"
"2025-03-01","635522.73","255630.99","143293.24","139398.42","131632.76","50124.56","53714.07","41544.4","32217.17"
"2025-03-02","496391.34","141051.97","144033.62","109559.36","102016.64","44227.86","53805.31","36673.93","35289.7"
