"날짜","러시아 DAU","브라질 DAU","터키 DAU","미국 DAU","프랑스 DAU","독일 DAU","일본 DAU","멕시코 DAU","이탈리아 DAU"
"2025-01-01","9596016","5894927","5083770","4371913","3403193","2878687","1413399","1923647","2061657"
"2025-01-02","11037305","6152486","5285698","4338560","3507078","3217216","1360843","1911532","2139221"
"2025-01-03","10020004","5854692","5594417","4318035","3420652","3149180","1377531","1976431","1994212"
"2025-01-04","9205685","5566634","5865884","4699587","3466041","2958594","1316108","1937643","2065821"
"2025-01-05","9041846","5780066","5294983","4537331","3210145","2918338","1301499","1946472","2011876"
"2025-01-06","8307107","5263704","4731549","4398641","3049366","2905914","1297833","1775652","1854259"
"2025-01-07","8361415","5365947","4555444","4320987","3220952","2940939","1245493","1758258","1906483"
"2025-01-08","8680399","5756524","4997238","4379207","3346377","2967571","1238833","1917953","1940083"
"2025-01-09","9390880","5697265","5140810","4225528","3150096","3075687","1254130","1842324","1941402"
"2025-01-10","9485725","5598636","5591227","4444612","3345396","3125593","1264000","1826326","2022396"
"2025-01-11","8749970","5706617","6070360","4147811","3389109","3146639","1360777","1826574","2030756"
"2025-01-12","8069421","5659851","5779002","4204139","3181365","2876428","1337320","1801711","1922891"
"2025-01-13","8792099","5166738","5579026","3917435","2919685","2833317","1340902","1639086","1784278"
"2025-01-14","9109878","5176494","5535107","4240037","3028654","2899148","1235813","1729002","1787425"
"2025-01-15","8608660","5179969","5399500","4127291","3197301","2823529","1258754","1635890","1746936"
"2025-01-16","8504044","5146980","5620608","4107360","3025833","2729401","1217488","1655287","1788048"
"2025-01-17","8855584","5281171","5960712","4105701","3212346","2907795","1224595","1700444","1827445"
"2025-01-18","8015681","5400039","5654902","3843406","3081653","2860563","1314098","1768617","1891567"
"2025-01-19","7682934","5466616","5778048","4241139","3177918","2707198","1319998","1650735","1782397"
"2025-01-20","8579875","5307053","5603537","4130088","2959989","2837137","1260279","1617191","1770285"
"2025-01-21","8094488","4927711","5545415","4000471","3044765","2806384","1215813","1603406","1682674"
"2025-01-22","7650699","5287009","5458397","3875406","3331075","2669761","1253068","1621824","1683402"
"2025-01-23","7727583","5047681","5495921","3830666","2999260","2731911","1258072","1688316","1722041"
"2025-01-24","7869109","5212313","5566685","4368508","3171099","2884528","1315462","1650303","1851131"
"2025-01-25","7910550","5249632","5784397","4596693","3337821","2947867","1428327","1777937","1833653"
"2025-01-26","6933788","5104201","5647714","4053865","3143737","2834970","1405948","1685942","1724840"
"2025-01-27","7716696","4997755","5296874","4044431","2935254","2699995","1255167","1554331","1685455"
"2025-01-28","7473649","4875190","5498603","3966729","3041219","2716219","1215761","1653528","1716229"
"2025-01-29","7283536","4946803","5461310","3825535","3117860","2632435","1222980","1643974","1641633"
"2025-01-30","7563480","5012614","5591369","4090046","2804264","2746946","1219554","1566148","1688127"
"2025-01-31","7668528","5134998","5534286","3938718","3163647","2933963","1241703","1761242","1757361"
"2025-02-01","7424984","5417258","5491286","3966595","3299406","2895768","1328604","1732648","1798286"
"2025-02-02","6744459","5253145","5293770","4217249","3108564","2694161","1322690","1779471","1724811"
"2025-02-03","7380714","4819615","4667194","4180869","2793503","2708466","1198960","1739088","1659229"
"2025-02-04","7830007","5071586","4842086","4362935","2908960","2693759","1231209","1639873","1636989"
"2025-02-05","8432924","5174908","5231566","4208685","3459672","2965298","1309919","1782261","1812444"
"2025-02-06","8843036","5403437","5518632","4400235","3288218","3013964","1300953","1873034","1925442"
"2025-02-07","8071398","4873754","5233112","4199353","3254370","2933033","1276630","1827628","1659786"
"2025-02-08","7337747","5511016","5304139","4202975","3361862","2929706","1368205","1831701","1815168"
"2025-02-09","6565759","5176562","5079271","4058894","3248510","2591916","1332630","1865976","1649357"
"2025-02-10","7225925","4932184","4647392","4263185","2955997","2728591","1288001","1763289","1563724"
"2025-02-11","7112118","4765701","4698696","4256134","3080599","2684286","1295477","1727359","1514944"
"2025-02-12","6817329","4618039","4518021","4381107","3037068","2682985","1223569","1670637","1546987"
"2025-02-13","6874853","4468626","4408799","4228699","2834447","2565179","1203100","1749059","1514642"
"2025-02-14","7191306","4710509","4649465","4358968","3145641","2782645","1206113","1639498","1650416"
"2025-02-15","6767920","5406713","5142588","4101914","3279275","2765762","1334524","1692348","1825712"
"2025-02-16","6128512","5283554","4772882","3966329","3246855","2613357","1305206","1778500","1573189"
"2025-02-17","6504937","4426447","4124666","3880534","2908692","2524652","1191934","1677509","1471942"
"2025-02-18","6372719","4484977","4207115","3900323","2989173","2510641","1148683","1762505","1556762"
"2025-02-19","6259242","4520865","4322274","3948562","2934222","2471201","1178495","1874929","1508320"
"2025-02-20","8051525","5278917","5060469","4304703","3272105","2914981","1270639","1895539","1778599"
"2025-02-21","7359861","4921904","4947786","4204420","3266898","2919541","1350549","1934384","1775214"
"2025-02-22","6712227","5658410","5146102","4216399","3382256","2861118","1367183","1972428","1770113"
"2025-02-23","6295050","5618552","5046053","4147742","3135738","2730615","1360994","2081466","1664831"
"2025-02-24","7005175","5017221","4268817","4144532","3086027","2688486","1339699","1969236","1633105"
"2025-02-25","7913575","5544838","4794766","4500917","3243648","2880044","1325917","2013863","1831093"
"2025-02-26","8043391","5608134","5004094","4383090","3306710","3003908","1389709","1935066","1962023"
"2025-02-27","7905170","5542349","4856056","4542608","3128150","2949749","1352318","1932214","1996351"
"2025-02-28","7841949","5618228","5017320","4605740","3235473","3013200","1381740","1917023","1854157"
"2025-03-01","7108343","6043566","5577013","4227794","3128255","2977068","1403503","2006511","1937993"
"2025-03-02","6534620","5852957","5057147","4391049","3075767","2807820","1383467","2049309","1787396"
"2025-03-03","6848851","5567167","4356453","4091835","2854075","2627242","1268901","1854154","1639741"
"2025-03-04","7275236","5974906","4473956","4277466","2884173","2707809","1311398","1942878","1658688"
"2025-03-05","7229328","5698401","4368903","4272719","3093361","2765488","1338342","1869238","1623672"
"2025-03-06","7705513","5526265","4577155","4454743","3003136","2869154","1319719","2004231","1742079"
"2025-03-07","7578952","5381447","4736588","4245970","3129646","2914698","1341473","1961779","1740986"
"2025-03-08","6815496","5751383","5066096","4171179","3236513","2949328","1368365","1999264","1799591"
"2025-03-09","5988275","5561221","4810959","4034924","3076055","2859488","1398492","2021479","1731032"
"2025-03-10","6582458","4659287","4128266","3939554","2708759","2676276","1312676","1833010","1620349"
"2025-03-11","6466487","4538112","3904182","4009668","2888333","2724277","1333373","1777273","1658941"
"2025-03-12","6406065","4665036","4037699","3967989","2970497","2682155","1325861","1763861","1541271"
"2025-03-13","6667111","4779195","4398842","4227210","2923088","2782165","1298797","1768194","1676945"
"2025-03-14","6608428","4974448","4422654","4275743","3045406","2823951","1354592","1758675","1663831"
"2025-03-15","5923075","5416987","4717833","4276827","3201679","2816340","1409700","1915007","1719231"
"2025-03-16","5607543","5456603","4223770","3985564","3045169","2710229","1425668","1841652","1537025"
