"날짜","필리핀 제도 DAU","미국 DAU","멕시코 DAU","브라질 DAU","콜롬비아 DAU","사우디 아라비아 DAU","나이지리아 DAU","대만 DAU","러시아 DAU"
"2025-01-01","2065949","2187471","1233180","861173","336552","329986","282598","311107","229765"
"2025-01-02","1973064","2042449","1048876","646074","362360","354980","243995","197176","223495"
"2025-01-03","1824047","2143134","1114170","669377","336667","365487","254319","246413","210031"
"2025-01-04","1939767","2085114","1067396","806980","344472","339804","255389","235143","217220"
"2025-01-05","1801517","1848325","1093886","754857","366714","349106","204672","284218","245085"
"2025-01-06","1889779","1934005","1157402","599671","356552","370618","232322","183965","284801"
"2025-01-07","2059830","2177855","1299555","730231","414706","310259","208660","239641","225318"
"2025-01-08","1861994","1841194","966266","728436","332992","425927","207890","211530","216473"
"2025-01-09","1838063","1853609","912262","756450","363990","364626","210060","128694","236608"
"2025-01-10","1890975","1897396","1035415","717428","313976","382821","215906","274786","217101"
"2025-01-11","1960083","2114584","1066225","735483","332852","337479","191988","395564","219916"
"2025-01-12","1968375","1875526","1118840","900733","363911","332513","240701","292696","250125"
"2025-01-13","1827478","1821815","1021120","764098","333838","309934","188444","216912","206150"
"2025-01-14","1797829","1596659","889464","728670","365972","288161","233561","212746","239779"
"2025-01-15","1751499","1803502","1052492","704878","396885","269149","240538","252706","259851"
"2025-01-16","1841931","1580994","1061823","676004","375402","373109","219296","286645","239163"
"2025-01-17","2082896","2204117","1186778","674658","389908","356114","228978","364159","281937"
"2025-01-18","2029194","1602854","1067161","733211","365093","294563","244034","333165","288396"
"2025-01-19","1796037","1806465","1150799","648842","367399","278439","262897","368735","278029"
"2025-01-20","1707991","1738089","963818","621439","385598","253294","188773","374749","274554"
"2025-01-21","1701670","1543609","1018639","615728","362578","255400","236924","389900","234665"
"2025-01-22","1764727","1680318","1032510","628709","326349","229913","249972","506639","276348"
"2025-01-23","1819449","1444980","871672","685866","292809","320807","265748","452217","219629"
"2025-01-24","1989557","1373573","969022","699803","341331","334525","224968","348942","310269"
"2025-01-25","2182770","1651004","1033852","714800","344135","298523","259716","422078","244222"
"2025-01-26","2147748","2050952","1145371","811803","358918","233375","247926","412168","274823"
"2025-01-27","1948665","1834589","1108122","673930","288461","244638","210741","416296","247994"
"2025-01-28","2014431","1605392","1040353","664145","303821","217764","239070","437566","269443"
"2025-01-29","2080020","1509399","952501","666709","369505","243226","248592","422408","258480"
"2025-01-30","1928403","1531228","991950","652441","325281","269432","208191","400225","259497"
"2025-01-31","2097246","1673483","1002024","685576","303553","342919","272237","453594","308106"
"2025-02-01","2199060","1703022","1010468","749108","372575","298266","262505","392970","293311"
"2025-02-02","1924405","2008570","1117872","826753","361424","250410","249646","411345","318418"
"2025-02-03","1975150","1846922","1158430","593461","296587","273904","233948","391635","284989"
"2025-02-04","1941427","1524591","973841","708456","328376","249887","217533","342432","296685"
"2025-02-05","1930620","1832516","920297","618745","282440","265501","262407","397929","242181"
"2025-02-06","2017764","1829229","1043960","614924","352190","320197","226244","344319","251096"
"2025-02-07","2218749","1735508","977679","521589","346969","336561","198620","372058","270741"
"2025-02-08","2135195","1967118","1151877","593402","322046","293867","242416","398060","240120"
"2025-02-09","2173527","1925201","952378","647737","380474","246571","232231","405757","219170"
"2025-02-10","1998611","1826822","999744","559059","356957","255913","236820","345996","273520"
"2025-02-11","1974051","1901276","937143","561992","332878","325902","232105","243277","238842"
"2025-02-12","1943236","1698689","931371","530132","333832","265572","248853","243607","232053"
"2025-02-13","1878469","2012036","738037","561203","345057","323559","217858","290907","252482"
"2025-02-14","1977914","1841564","915463","555013","304974","309042","238246","288272","236828"
"2025-02-15","2135448","2100727","982288","685250","346361","282803","256189","376586","210051"
"2025-02-16","1965030","2021441","1103398","725787","388546","265476","219245","385606","184771"
"2025-02-17","1860216","1867868","931691","515022","330484","236735","200325","273690","179083"
"2025-02-18","1991881","1764705","995595","588129","337325","283145","202750","245800","216741"
"2025-02-19","2058237","1834784","1022618","533375","356012","334386","243384","303447","227119"
"2025-02-20","1894322","1786728","901999","512725","319523","428258","238516","260179","238039"
"2025-02-21","2023267","1671852","1033737","579759","376198","368398","249949","314786","233278"
"2025-02-22","1975773","1693066","987164","626320","408288","324925","233048","382836","248439"
"2025-02-23","2061325","2024977","1141270","714752","451877","333082","203714","314683","210870"
"2025-02-24","1860019","1888315","995228","545688","393684","332013","239571","267702","229104"
"2025-02-25","1882344","2014822","833187","529079","406784","336471","214866","233951","238581"
"2025-02-26","1930558","1917527","963796","538122","342370","373078","252616","240050","219747"
"2025-02-27","1889112","1617274","843870","540086","349260","332666","229140","284465","232007"
"2025-02-28","2046045","1916348","981142","563062","399414","440377","261549","333547","236333"
"2025-03-01","2054445","2101828","1017995","616672","343853","420388","252984","316168","234840"
"2025-03-02","1925744","1951804","1160607","693767","355594","299886","280382","339109","257268"
"2025-03-03","1939298","1718398","976468","636310","387754","287567","235686","213777","232087"
"2025-03-04","1998244","1770100","712192","651320","374537","317973","264372","204246","240277"
"2025-03-05","2009972","1918307","795795","590910","368468","274479","252268","232753","234868"
