"날짜","미국 수익 ($)","멕시코 수익 ($)","일본 수익 ($)","필리핀 제도 수익 ($)","독일 수익 ($)","프랑스 수익 ($)","대만 수익 ($)","캐나다 수익 ($)","영국 수익 ($)"
"2025-01-01","635179.31","94558.78","150596.13","42179.89","32917.01","24427.82","32392.05","18560.49","21706.14"
"2025-01-02","445582.74","103760.86","78211.8","38412.36","31572.54","25826.54","18483.54","18305.82","19209.81"
"2025-01-03","551033.65","95155.51","77063.85","38036.26","31733.87","29462.39","19031.12","24377.06","19723.5"
"2025-01-04","495422.82","115019.43","63116.52","33437.77","25140.18","20393.8","16715.9","22548.54","18401.55"
"2025-01-05","457773.37","88944.27","58363.65","31943.04","25521.04","18231.01","12822.22","17903.52","15015.76"
"2025-01-06","349628.73","96371.34","51249.12","25542.66","23411.29","19475.75","15232.85","13168.57","15166.51"
"2025-01-07","315402.07","56295.86","40809.83","28648.36","24027.57","19399.16","13613.48","12814.79","13103.69"
"2025-01-08","324182.2","64494.46","34908.18","22922.56","18937.37","15426.06","11479.6","11108.33","13784.88"
"2025-01-09","371696.75","81852.99","32771.54","19403.43","17301.43","15295.48","10270.52","13235.92","12663.06"
"2025-01-10","441031.83","95633.46","40963.28","28175.4","24356.3","20534.74","11579.32","14020.62","17539.9"
"2025-01-11","407555.86","81069.8","37206.67","26668.96","19870.04","18680.08","12202.11","14619","15456.76"
"2025-01-12","291105.31","78593.75","32143.8","31164.31","18284.52","13612.44","10286.33","13252.37","13549.81"
"2025-01-13","273378.42","69301.26","31989.77","19060.33","15841.45","11229.31","8707.73","11841.94","10010.25"
"2025-01-14","246343.02","56831.32","24909.51","26837.26","17532.83","13910.06","7414.66","11066.12","10926.81"
"2025-01-15","579347.56","97983.25","31079.04","53455.85","22283.83","18731.27","12922.74","33422.73","16637.75"
"2025-01-16","770152.43","132034.01","117663.71","93993.25","54017.35","39831.61","43226.56","38988.31","43263.38"
"2025-01-17","1348930.44","211869.58","127224","147861.8","56805.76","39338.03","50054.47","51108.15","52247.62"
"2025-01-18","1195693.99","206967.34","217987.24","138861.99","71435.44","60227.98","76460.43","55214.75","56239.85"
