"날짜","대만 수익 ($)","미국 수익 ($)","일본 수익 ($)","태국 수익 ($)","대한민국 수익 ($)","홍콩 수익 ($)","인도네시아 수익 ($)","말레이시아 수익 ($)","브라질 수익 ($)"
"2025-04-21","5241.69","25192","1738.06","1874.88","1621.2","1605.57","336.06","311.31","1977.14"
"2025-04-22","25844.18","39383.84","16657.65","8689.11","6125.04","3452.71","2049.96","2084.58","4818.53"
"2025-04-23","25863.28","33452.42","24372.93","10880.11","7303.55","3999.87","2826.21","2463.63","5889.66"
"2025-04-24","15875.18","41021.95","27322.78","11624.23","9169.46","4992.46","3531.48","3483.34","7445.23"
"2025-04-25","18212.06","43944.04","25976.88","14155.2","10224.5","5620.36","4534.55","3867.56","9589.96"
"2025-04-26","22585.99","43873.04","23529.02","13756.6","12004.96","5632.02","5587.59","3825.93","10531.33"
"2025-04-27","18298.42","38156.65","20353.34","12076.19","11745.47","6630.4","4548.27","3282.52","10662.97"
"2025-04-28","19603.1","40193.26","20346.95","11178.9","10559.35","6323.52","5138.64","3409.79","8168.36"
"2025-04-29","14303.08","30706.29","20310.86","10990.66","9133.32","4140.23","4217.55","2833.49","6574.36"
"2025-04-30","20449.05","28412.11","23584.04","15639.21","14929.93","4363.53","4701.01","3342.69","7261.44"
"2025-05-01","25729.54","29365.63","38459.6","13137.57","17596.77","4197.81","4386.27","3741.47","8799.65"
"2025-05-02","19278.99","29028.96","22381.63","11617.04","10018.01","3244.18","3728.07","3504.1","8012.39"
"2025-05-03","20704.41","32580.4","23389.93","10727.19","12297.21","3868.31","3895.83","2900.4","7677.9"
"2025-05-04","17534.99","26854.67","17772.97","9273.88","9989.88","3467.01","3684.18","3122.5","7342.31"
"2025-05-05","26539","29600.18","18679.99","9178.88","10648.64","3608.51","2947.55","3051.37","5748.56"
"2025-05-06","17408.25","22289.89","18533.28","8081.27","10653.93","4333","2875.31","2801.23","4864.85"
"2025-05-07","23242.85","18988.22","17191.61","8849.83","9301.82","4417.2","3641.75","3320.43","4808.91"
"2025-05-08","20214.41","21159.57","13743.9","8404.35","10022.29","4521.11","2999.43","2792","5751.13"
"2025-05-09","21767.25","19679.86","15113.15","10159.66","14441.96","4026.13","3325.98","3383.22","4594.4"
"2025-05-10","27805.24","22346.53","15386.48","9435.69","12992.26","4438.56","3645.08","2603.34","4677.25"
"2025-05-11","25911.03","20885.87","15563.18","8953.7","10024.36","3699.04","2609.36","2237.57","4353.84"
"2025-05-12","20704.25","15775.28","11166.37","9176.9","8669.41","3714.42","2739.77","2462.26","3662.79"
"2025-05-13","22945.65","14086.27","9004.07","9344.57","7573.48","2799.45","2547.32","2379.74","3457.55"
"2025-05-14","21713.83","13115.71","10310.11","7366.45","6387.57","3065.5","2285.41","2335.75","2547.52"
"2025-05-15","19222.79","14284.36","13139.17","6694.58","7648.6","3036.3","2496.01","2303.48","2691.68"
"2025-05-16","23432.18","23343.91","11217","8619.02","8147.84","3052.33","2732.1","2692.08","2891.4"
"2025-05-17","23913.3","20245.34","15227.11","7998.34","7592.22","3376.36","2962.95","2708.51","3143.21"
"2025-05-18","20075","18661.78","14073.38","5861.39","6258.11","3435.62","2790.14","2321.95","3066.52"
"2025-05-19","20052.6","14548.94","10817.83","6272.21","5116.14","3183.15","2266.51","1911.17","2378.31"
"2025-05-20","12411.17","14116.26","11147.52","7655.4","5984.47","2350.34","2093.64","2186.62","2546.91"
"2025-05-21","18194.39","14487.61","8077.94","6104.8","4665.7","2770.5","2289.71","2001.57","2358.97"
"2025-05-22","18399.55","18823.36","8975.16","6337.54","5812.72","2118.33","2330.6","2362.87","2305.35"
"2025-05-23","16497.26","19076.44","10336.71","7453.09","5148.64","2923.3","3115.42","2750.9","2084.66"
"2025-05-24","17555.57","16321.43","11378.97","7360.37","5120.42","2531.37","2710.16","2093.73","2312.64"
"2025-05-25","15259.14","15277.45","11438.89","6468.32","4072.74","2804.66","3163.71","1830.78","2182.84"
"2025-05-26","16734.88","13975.7","8785.02","7509.16","3694.84","3151.76","2931.53","1841.79","1937.76"
"2025-05-27","11969.04","9604.64","7871.5","7973.62","2987.85","2487.32","2189.41","1761.16","1845.07"
"2025-05-28","13816.69","10287.4","6467.73","6765.54","3158.1","1891.43","2162.75","2610.2","1659.78"
"2025-05-29","17729.58","12442.31","6051.96","7556.33","3708.97","2766.69","2469.22","2460","1558.75"
"2025-05-30","16695.23","14157.06","6866.51","9309.48","3330.37","2709.84","2558.42","2738.84","1922.61"
"2025-05-31","20510.24","12532.95","9967.13","7373.4","4495.44","2728.83","3064.88","3246.93","1992.34"
"2025-06-01","21756.83","11506.7","14631.27","7520.02","6093.86","2560.22","3502.2","2909.05","2198.07"
"2025-06-02","17899.04","9894.26","9309.77","7457.37","3502.46","2857.06","3059.76","2104.78","1705.15"
"2025-06-03","16936.07","9724.91","8488.92","6872.81","4358.3","3070.17","2981.64","2093.7","1675.05"
"2025-06-04","16147.82","9230.79","7905.11","6042.45","3203.16","2334.93","2507.67","2086.98","1694.74"
"2025-06-05","19883.63","10437.02","6938.7","5279.51","3993.42","2648.21","2724.52","2885.53","1875.24"
"2025-06-06","21558.03","10607.19","5790.12","5414.32","4013.42","2696.8","3827.43","2697.99","2391.94"
"2025-06-07","20209.72","9248.37","7050.48","5711.84","4003.21","2789.21","2849.88","3125.4","2321.2"
"2025-06-08","17162.49","8431.14","7109.03","5143.82","3055.02","2696.28","3008.44","2237.98","2278.94"
"2025-06-09","18390.72","6975.11","6411.38","4099.26","3348.4","2204.65","2509.8","2310.27","1996.77"
"2025-06-10","17361.3","6843.5","6322.41","5514.27","3583.55","2382.92","2874.34","2517.29","1792.21"
"2025-06-11","15507.06","6593.57","4988.7","4783.83","2865.39","2086.18","2106.91","2059.83","1639.38"
"2025-06-12","19012.83","6693.76","4328.74","4777.8","2652.91","2821.72","2267.24","2266.41","1679.68"
"2025-06-13","17897.69","9082.74","5001.5","6862.52","4567.34","2672.45","2609.03","2228.36","1719.14"
