"날짜","인도네시아 DAU","베트남 DAU","브라질 DAU","멕시코 DAU","파키스탄 DAU","태국 DAU","알제리 DAU","콜롬비아 DAU","페루 DAU"
"2025-01-01","15190087","7210487","11195656","5858591","4016976","2557049","1720916","2226146","1555789"
"2025-01-02","15170855","6784851","9565838","4804221","3904355","2522422","1809411","2003380","1421824"
"2025-01-03","14753399","6613913","9702657","4804625","3895099","2678928","1847393","1926165","1307791"
"2025-01-04","15876286","7457015","9569601","4897577","3871835","2902137","1562518","2128456","1493948"
"2025-01-05","15032522","7602713","9880029","5112625","3936101","2535663","1276647","2058413","1483569"
"2025-01-06","14225544","5942566","9813886","5183549","3609184","2387291","1176750","2020760","1237891"
"2025-01-07","13859017","6509883","9970465","5063860","3478277","2414462","1370128","2081139","1346583"
"2025-01-08","14945565","6598753","10193720","5333571","3854116","2503700","1267500","2146436","1299212"
"2025-01-09","15713530","5981359","10291485","5076631","3368578","2683204","1528631","2089382","1471884"
"2025-01-10","17089677","7083972","11049880","5676435","3970408","2708519","1912631","2090904","1616252"
"2025-01-11","18771484","7202125","12056219","5843764","4023781","3034610","1935389","2337160","1743450"
"2025-01-12","18293275","7165358","12323543","6087399","3915156","2652612","1768234","2299539","1528419"
"2025-01-13","16508595","5743738","11262785","5420940","3358677","2511169","1598456","2242512","1454301"
"2025-01-14","16416387","5818698","11034138","5618008","3188090","2159931","1746144","2240786","1559750"
"2025-01-15","17694501","6379354","10760631","5656907","3094827","2006977","1536811","2076719","1509027"
"2025-01-16","17510357","7180120","11430577","5537771","3076893","2511723","1493685","2176802","1594945"
"2025-01-17","18183428","7218753","11250477","5517339","3457901","2189409","1984560","2193512","1590014"
"2025-01-18","19319954","7744222","11916428","6378456","3658757","2810005","1932455","2384691","1688143"
"2025-01-19","18699864","7565235","11858549","6543940","3565066","2408499","1373224","2318542","1786059"
"2025-01-20","17218618","6830216","10895179","6391264","3152660","2326224","1512621","2167060","1554671"
"2025-01-21","17647016","6525734","10445174","6209127","3133931","2622354","1591580","2239604","1533051"
"2025-01-22","16825003","7451662","10585560","6118346","2903495","2493859","1523060","2103050","1554820"
"2025-01-23","17017629","7716376","10282333","5667196","3201693","2379815","1791611","1958167","1614374"
"2025-01-24","18267724","9032554","10640023","5792251","3520295","2499549","1688993","2198475","1715740"
"2025-01-25","19448795","9437234","11718890","6015067","3791418","2686512","1782697","2367856","1714183"
"2025-01-26","19196947","9885108","11578186","6672644","3737939","2869552","1215458","2220269","1702782"
"2025-01-27","18741643","10561667","10245413","6226176","3240710","2438831","1450007","2081851","1536014"
"2025-01-28","19260747","10566240","10138527","5940425","3300908","2710661","1378655","2092309","1471248"
"2025-01-29","17942839","10866199","9911363","5593718","3147676","2225828","1346521","2134998","1734741"
"2025-01-30","17243447","10462058","10071010","5509837","3052275","2850982","1493531","2078540","1427339"
"2025-01-31","17686276","8696800","10399386","6417134","3433824","2397042","1710369","2052937","1609245"
"2025-02-01","19112725","9883808","10463344","6466713","3587755","2631084","1542845","2158228","1656623"
"2025-02-02","19151856","8861638","11377746","5812995","3794227","2539363","1348496","2104050","1600296"
"2025-02-03","16912594","7698284","9462899","5929365","3270463","2420309","1321532","1938495","1582790"
"2025-02-04","17835041","6637836","9385681","5404121","3285981","2219490","1368278","1779845","1654110"
"2025-02-05","17987564","6699287","9077658","5312229","3540859","2533732","1306938","1864971","1540701"
"2025-02-06","17285334","6610983","8617933","4871326","3330266","2201723","1469871","2033393","1538178"
"2025-02-07","19136900","6709024","8980867","6087717","3344479","2240390","1672528","2053167","1567311"
"2025-02-08","19709965","7895523","9653049","5757082","3652144","2555892","1499838","1983438","1486342"
"2025-02-09","19347138","8496257","9904611","5732439","3613793","2794289","1305219","2131833","1680203"
"2025-02-10","17226319","6099886","8662188","5392661","3088011","2466492","1418445","1802541","1732149"
"2025-02-11","18487813","6586478","8125302","5402926","3236244","2274897","1449668","1765090","1732626"
"2025-02-12","18224454","6881535","8334563","5159158","3180543","2336465","1489416","1734789","1657915"
"2025-02-13","17997887","6294061","8274949","5249107","3556679","2180703","1497432","1625669","1585796"
"2025-02-14","19246635","7195826","8192211","5649397","3515944","2620755","1613990","1737119","1700038"
"2025-02-15","19135096","7847898","9598292","6006144","3796275","2648781","1650379","1994691","1998855"
"2025-02-16","18305866","7819239","9968173","6479368","3699899","2497256","1469445","1957541","1923966"
"2025-02-17","16668231","6370436","7576767","5921023","3212812","2672510","1469207","1744703","1702066"
"2025-02-18","16498345","6663118","7670928","5405876","3262650","2192797","1638347","1518329","1813717"
"2025-02-19","17105731","6969812","7576946","5447208","3549226","2011808","1472442","1583452","1789942"
"2025-02-20","17440744","6091128","7637471","5536161","3439489","2255540","1700370","1640730","1810204"
"2025-02-21","17381546","6787213","7751877","5520576","3698364","2665695","1823716","1770281","1639021"
"2025-02-22","19016251","7654182","9096746","5927515","3758755","2970359","1622683","2064437","1828312"
"2025-02-23","18223973","7482191","9147442","5872887","3667663","2612162","1347894","2125218","1889523"
"2025-02-24","17177312","6175514","7440302","5160273","3172498","2275943","1388179","1630817","1746184"
"2025-02-25","17587589","5763241","7345279","4899754","3386958","2243508","1339321","1762451","1833315"
"2025-02-26","19583571","6899522","8157899","5694013","3587411","2516597","1405243","1958110","1845931"
"2025-02-27","19477108","7004046","8200774","5436934","3706830","2775674","1476082","1961556","1921726"
"2025-02-28","20393047","7493710","8477326","5576394","3809298","2973482","1685964","1930529","1668773"
"2025-03-01","21305690","8731183","9363176","5898232","3943249","2735162","2079439","2140250","1901851"
"2025-03-02","19670159","8629575","10055468","6085718","4094507","2599522","1675611","2095318","2090969"
"2025-03-03","19604446","6637251","9033142","5570773","3818763","2517179","1466000","1921378","1812787"
"2025-03-04","19095099","6430785","9210887","5148068","3492906","2718005","1561236","1788862","1812858"
"2025-03-05","17998895","6979115","8807008","5567893","3477552","2534858","1861027","1778727","1918734"
"2025-03-06","17863024","6851482","7761966","5421729","3682313","2584159","2182906","1642775","1966610"
"2025-03-07","18748057","7713052","7921292","5554524","3807132","2929939","2638242","1867373","2066097"
"2025-03-08","18632137","8678910","9044335","5915154","3865569","3137072","2437692","2195909","2066028"
"2025-03-09","18456368","8039206","8839642","6315146","3649167","2766049","2138104","2016793","2047780"
"2025-03-10","18034460","6856839","6916346","5255122","3359993","2561145","2350376","1725043","1887043"
"2025-03-11","18028050","6309626","7071610","5187673","3695333","2656175","2131125","1636722","1948221"
"2025-03-12","17976813","6273195","7104165","4819770","3644079","2839514","1960617","1589956","1786451"
"2025-03-13","18029427","6413524","7174622","5468401","3488778","2538025","1942832","1730833","1785224"
"2025-03-14","18632597","7154563","6971719","5602929","3809655","2620820","2480812","1731150","1728348"
"2025-03-15","19185328","8370438","8310730","5577827","4052215","2757319","2225243","1944566","1772291"
"2025-03-16","18717562","7206760","8421866","6010815","4087456","2880010","1971457","1969717","1859169"
"2025-03-17","18717992","6370838","7009240","5479034","3764848","3038462","1839873","1849132","1702400"
"2025-03-18","18949798","6124467","6538308","5032674","3597523","2849555","1975844","1942672","1585318"
"2025-03-19","19659916","6726580","6813159","5081015","3866506","2744221","2053407","1916302","1261461"
"2025-03-20","20506436","6517461","6333813","5280711","3737980","2847286","2293541","1697106","1222674"
"2025-03-21","20628267","6529161","6420019","5535279","3902458","2923401","2305401","1799630","1410358"
"2025-03-22","20772264","7358649","7618002","5686912","4337328","3084442","2247136","1979151","1671037"
"2025-03-23","20308556","8118892","8097075","5706550","4222493","2813398","2091287","2025541","1843230"
