"날짜","미국 수익 ($)","멕시코 수익 ($)","태국 수익 ($)","브라질 수익 ($)","인도네시아 수익 ($)","칠레 수익 ($)","베트남 수익 ($)","페루 수익 ($)","스페인 수익 ($)"
"2025-01-01","684903.89","392925.58","48341.64","63738.94","28316.04","46289.96","17981.6","19885.43","16427.54"
"2025-01-02","497072.84","493154.87","43478.49","53276.68","31887.4","35227.26","11898.54","17465.38","14540.38"
"2025-01-03","663509.78","413214.26","48695.97","66442.21","35101.06","31839.62","15826.45","27932.55","16763.03"
"2025-01-04","516146.86","551923.01","42771.66","57030.79","32285.63","33718.19","15060.1","30833.66","15592.54"
"2025-01-05","494092.11","440385.89","36181.33","57010.44","32823.47","35746.4","13965.55","17610.44","13256.88"
"2025-01-06","482880.49","830599.93","28784.74","45624.02","38224.91","33224.06","14036.39","29807.67","15505.99"
"2025-01-07","414039.62","382783.16","32483.31","51194.17","33039.7","39629.44","15718.85","19222.71","14143.86"
"2025-01-08","316665.28","308325.59","37675.61","55568.42","36110.47","29766.48","16303.22","26466.49","11978.54"
"2025-01-09","480918.5","416256.49","35663.07","136018.57","37271.65","68380.74","18164.02","15761.91","13849.22"
"2025-01-10","1167117.95","521276.94","66569.19","311863.44","49030.92","53445.33","23087.76","37437.72","37203.51"
"2025-01-11","1202733.79","508524.13","62833.03","277912.06","53988.48","61718.33","21457.15","43005.07","35964.65"
"2025-01-12","934382.09","523700.1","76199.25","195425.3","42215.88","73882.92","28269.44","24193.27","29067.33"
"2025-01-13","722349","393117.19","109064.76","110847.1","86182.93","63044.69","21326.96","24406.57","26954.23"
"2025-01-14","649829.71","349038.36","117232.04","78047.68","83817.77","62143.64","18037.72","26337.17","23315.23"
"2025-01-15","697271.3","348040.33","141609.97","83392.22","65297.91","59844.96","20980.49","29710.9","23009.08"
"2025-01-16","691707.6","331530.09","122095.79","91862.81","71785.29","59584.73","20542.87","20195.79","25571.5"
"2025-01-17","783665.13","392327.47","147718.63","95216.84","80841.6","63046.61","23230.61","29986.38","25027.5"
"2025-01-18","852670.84","433529.41","145112.95","164574.48","93541.11","63576.43","22351.33","33618.47","25316.33"
"2025-01-19","812666.43","431638.16","153446.61","96022.2","48571.79","65793.77","22697.61","23549.68","23906.69"
"2025-01-20","681218.01","419615.7","143086.98","75227.73","59395.6","60413.72","19372.68","24675.59","20089.02"
"2025-01-21","499175.1","291271.32","115406.38","56635.09","57441.99","62208.6","23340.63","21479.94","17758.73"
"2025-01-22","481605.37","303530.79","127089.26","50891.96","45464.31","57118.6","21965.26","28413.47","16399.61"
"2025-01-23","436205.55","283916.02","86710.9","53489.82","42284.71","62030.77","26445.07","18157.36","15505.4"
"2025-01-24","590825.95","370441.49","78538.67","81777.49","49366.12","60443.84","27862.87","25842.68","17265.71"
"2025-01-25","823912.02","482033.51","81816.01","138266.68","67040.26","62451.33","29654.77","34184.37","21809.09"
"2025-01-26","748861.14","496854.96","71765.12","83961.54","67794.59","62930.47","28440.09","22041.76","18703.57"
"2025-01-27","478222.47","417439.13","102083.74","62898.12","90740.05","60781.59","20503.8","20383.62","16106.75"
"2025-01-28","472156.53","290371.52","97708.17","56306.7","104387.24","62023.77","30533.02","19223.76","15658.76"
"2025-01-29","505344.33","300900.63","80161.99","59745.22","82144.49","57586.05","26247.54","22619.7","15771.39"
"2025-01-30","474025.42","334453.11","72996.07","59057.42","69976.06","56998.16","34975.46","17428.62","15589.32"
"2025-01-31","722321.74","450440.32","88962.77","83301","80212.63","57800.93","28637.96","27303.66","15915.36"
"2025-02-01","699705.32","481560.58","86493.5","82383.57","93845.28","60787.53","26500.02","31035.23","18401.96"
"2025-02-02","616258.41","492607.88","58570.79","67827.96","68641.31","67222.12","32243.6","20254.41","19231.69"
