"날짜","파키스탄 DAU","이집트 DAU","터키 DAU","러시아 DAU","우즈베키스탄 DAU","인도네시아 DAU","사우디 아라비아 DAU","베트남 DAU","미국 DAU"
"2025-01-01","3306010","2857777","1772933","2718023","1445307","1208432","570310","582352","777943"
"2025-01-02","3501251","3012564","1489256","2558249","1339872","1279198","647544","641390","807439"
"2025-01-03","3389099","2942209","1759434","2657240","1246593","1128173","694748","625060","696406"
"2025-01-04","3345583","2663887","1909640","2540246","1336360","1063817","664264","541370","809709"
"2025-01-05","3320709","2532627","1778869","2486563","1275906","925814","592511","549871","776798"
"2025-01-06","3132938","2676142","1515830","2493394","1252132","993512","599333","614569","683615"
"2025-01-07","3083272","2827501","1553713","2445369","1249406","1010735","547864","714661","854787"
"2025-01-08","3058099","2525188","1518450","2478122","1249398","1129620","649067","731840","665364"
"2025-01-09","3037179","2767242","1788515","2594375","1305420","1038900","707335","645414","540787"
"2025-01-10","3260847","2644105","1925550","2749533","1304078","1211930","647398","643867","655074"
"2025-01-11","3500659","2596699","2155660","2743082","1321242","1167045","580375","701835","638390"
"2025-01-12","3466533","2450954","2231548","2565581","1343083","1100145","594307","718439","951957"
"2025-01-13","2978647","2562105","2085282","2479903","1235090","938787","533434","523430","693821"
"2025-01-14","2898617","2439726","2187044","2476880","1200955","1192164","553645","489157","650713"
"2025-01-15","2979816","2806283","2300337","2481497","1199366","1121423","751694","557477","681926"
"2025-01-16","3056741","3402075","2326390","2589216","1127758","1028889","782705","540726","595590"
"2025-01-17","3218971","3350966","2419981","2662288","1157143","1166344","862460","637257","531701"
"2025-01-18","3274350","3278888","2472720","2761044","1321722","1119081","717949","723715","660014"
"2025-01-19","3347576","3227837","2558080","2578856","1244768","1148329","648036","836797","649468"
"2025-01-20","3005047","3291173","2648155","2621737","1175886","1133639","543671","608357","482896"
"2025-01-21","2956625","3288056","2620285","2630762","1225487","1126917","592913","490610","537108"
"2025-01-22","2985671","3270221","2538634","2494012","1220406","1086377","634602","786676","561965"
"2025-01-23","2978495","3529810","2616348","2531820","1162157","1114406","745684","652473","660878"
"2025-01-24","3144422","3918067","2611559","2660841","1224194","1291690","684023","630620","583347"
"2025-01-25","3308303","3671361","2756486","2614741","1291887","1227704","596415","730962","543996"
"2025-01-26","3268569","3747283","2697049","2452471","1259317","1367460","661527","638752","691835"
"2025-01-27","2898080","3793698","2745809","2280168","1091334","1254347","659118","627415","449283"
"2025-01-28","2899477","3535472","2688762","2389817","1152125","1209657","632039","607496","732063"
"2025-01-29","3010035","3584579","2745667","2490468","1122528","1128446","756928","757467","565308"
"2025-01-30","3168270","3594115","2796678","2422326","1079582","1219880","679734","799448","645868"
"2025-01-31","3223430","3784239","2714317","2636141","1047478","1100565","682525","604196","421707"
"2025-02-01","3320073","3532501","2807389","2611905","1168395","1218431","534947","680732","558523"
"2025-02-02","3258360","3324143","2612697","2713385","1141868","1151302","650419","723561","739176"
"2025-02-03","3127303","3166410","2436715","2641587","1085224","1144504","588919","687582","501518"
"2025-02-04","3297746","3233200","2436115","2564012","1135540","1098785","597916","674181","677448"
"2025-02-05","3447039","3291200","2347661","2492230","1103535","1189723","630675","668976","407789"
"2025-02-06","3048686","3148775","2475668","2616559","1077092","1179221","639903","747307","490607"
"2025-02-07","3275580","3076618","2641329","2843554","1073924","1352808","588427","736669","546725"
"2025-02-08","3288710","2789065","2943643","2845786","1134990","1247296","647138","608781","645989"
"2025-02-09","3411133","2666378","2920071","2697704","1140923","1316435","552155","575422","644198"
"2025-02-10","3086067","2620105","2544517","2622901","1026911","1240449","497580","510343","577129"
"2025-02-11","3051021","2674456","2579712","2598636","1165237","1225398","537456","498322","444027"
"2025-02-12","2933381","2601645","2590352","2708844","1141610","1082604","609400","569333","485717"
"2025-02-13","3074777","2903559","2640710","2516192","1082938","1134948","605135","578133","649610"
"2025-02-14","3305787","3174800","2712345","2666432","1115780","1272369","685121","372243","582368"
"2025-02-15","3316461","2825008","3081710","2779068","1261472","1155995","601714","584511","640694"
"2025-02-16","3203997","2695184","2886378","2670738","1341757","1272196","559530","423885","597698"
"2025-02-17","3014824","2690981","2577054","2657549","1170241","1111404","609595","467390","605418"
"2025-02-18","3078324","2693422","2606923","2560363","1124726","1234920","629101","483083","700571"
"2025-02-19","2795425","2624447","2713092","2607471","1181149","1163825","661337","544672","556735"
"2025-02-20","2862884","2882472","2672482","2747164","1174068","1295221","703680","592523","552622"
"2025-02-21","3020417","3011925","2774150","2947446","1180214","1263339","759889","569662","788199"
"2025-02-22","3024389","2674180","3084903","2747849","1238452","1341139","692377","555210","629448"
"2025-02-23","3102862","2488042","3120760","2631244","1243053","1290187","679189","471717","635007"
"2025-02-24","2883805","2376480","2572179","2443756","1142835","1252691","609153","429066","476592"
"2025-02-25","2851294","2437970","2659214","2481150","1194166","1285077","618219","470100","585370"
"2025-02-26","2906048","2336260","2588017","2429102","1074346","1196420","613981","363049","546904"
"2025-02-27","2932387","2745125","2682607","2346245","1016830","1370499","690854","524241","609601"
"2025-02-28","2994463","2866126","3084976","2446145","1072342","1433499","702438","575756","496958"
"2025-03-01","3150891","3309131","3552414","2437720","1229681","1649370","629085","468210","561711"
"2025-03-02","3432269","3191865","3285552","2486645","1142514","1495898","819643","535514","554106"
"2025-03-03","3452687","3040663","2879484","2363802","1105835","1369188","601420","495975","409260"
"2025-03-04","3015077","3069308","2900477","2374245","1039417","1398616","686356","513533","505256"
"2025-03-05","3118448","3006639","2866651","2345359","1054636","1450547","728954","451524","564898"
"2025-03-06","3497088","3273715","2933981","2212290","1044614","1331683","675814","605032","553279"
"2025-03-07","3580630","3646292","3170722","2606766","1214916","1433510","781483","499461","579878"
"2025-03-08","3770422","3386684","3429036","2849042","1397260","1602993","661411","763301","587240"
"2025-03-09","3625228","3151544","3181242","2464722","1240093","1489313","679774","525670","685409"
"2025-03-10","3574918","3192280","2764368","2441628","1121190","1631091","697335","592301","568986"
"2025-03-11","3453518","3253749","2842574","2387869","1176399","1430918","673858","493937","493904"
"2025-03-12","3426907","3261044","2966378","2446160","1136125","1495578","603840","475551","603008"
"2025-03-13","3537439","3551869","2938214","2397570","1151372","1568556","704176","600833","702766"
"2025-03-14","3497138","3853499","2919729","2524021","1153277","1378148","604684","686710","641922"
"2025-03-15","3562393","3469157","3229768","2644510","1174931","1564812","596282","705316","573535"
"2025-03-16","3483892","3255171","2990198","2482225","1216890","1421631","541888","715863","611927"
"2025-03-17","3381351","3392353","2540064","2449721","1070890","1465330","689806","645283","584332"
"2025-03-18","3481112","3236170","2501184","2423994","1110945","1476259","579853","626996","498962"
"2025-03-19","3333697","3031030","2563484","2381740","1127833","1265203","559530","565315","698733"
"2025-03-20","3375276","3205910","2545121","2440442","1162521","1410890","661545","636533","515763"
