"날짜","미국 수익 ($)","사우디 아라비아 수익 ($)","터키 수익 ($)","독일 수익 ($)","일본 수익 ($)","대한민국 수익 ($)","우크라이나 수익 ($)","아랍에미리트 수익 ($)","캐나다 수익 ($)"
"2025-01-01","256385.88","115023.98","75823.72","82912.86","181128.22","85508","29962.43","41323.37","32632.17"
"2025-01-02","215182.63","112137.47","67002.29","75675.36","87656.65","58416.05","30636.91","38376.36","30190.31"
"2025-01-03","306412.03","118008.4","75806.7","81851.81","87944.98","48165.37","33112.21","33359.81","46567.49"
"2025-01-04","226276.63","82488.43","74573.43","70557.91","57796.61","53186.54","30107.52","30005.08","37515.09"
"2025-01-05","202576.27","119286.38","68718.47","60605.9","42909.99","45965.32","28767.79","26004.61","32370.85"
"2025-01-06","177650.31","79929.18","68537.28","60155.31","42847.87","40887.12","30773.15","29806.58","25890.12"
"2025-01-07","155630.24","52297.13","75446.43","58342.01","40157.95","44744.03","30983.22","34765.68","23540.66"
"2025-01-08","148055.62","80520.63","76570.66","48516.76","38064.02","41647.35","29739.13","27640.86","18419.37"
"2025-01-09","293524.63","89007.94","79268.02","59340.12","35320.41","50528.21","45887.91","26368.38","43525.36"
"2025-01-10","423410.57","107426.66","95458.33","101859.93","80558.8","74592.97","71110.96","37187.87","70092.33"
"2025-01-11","446157.38","95529.71","74203.06","93567.82","71475.17","69882.35","77998.76","35476","58319.26"
"2025-01-12","387676.37","135864.21","79293.46","107853.29","114414.58","73140.31","83579.56","64109.25","52867.73"
"2025-01-13","274261.74","108692.55","91743.18","72509.92","102818.19","57608.08","60525.93","50903.78","33346.88"
"2025-01-14","251448.84","97938.83","85298.35","78094.86","85154.46","67065.16","53908.69","43515.77","38903.22"
"2025-01-15","207164.4","97790.84","70247.11","78010.26","68744.27","62702.39","54764.67","40344.1","31157.43"
"2025-01-16","211651.04","106393.38","76498.71","78422.3","55072.48","71933.64","54307.55","33568.35","32112.48"
"2025-01-17","278029.65","82505.29","86578.6","86840.36","60006.61","90184.43","58276.83","37905","44047.89"
"2025-01-18","244143.98","71080.77","83661.99","75464.74","49990.48","84437.47","56523.35","33100.11","36276.9"
"2025-01-19","254455.07","106072.56","71469.75","68314.36","54662.68","60124.77","52366.31","29012.77","32495.27"
"2025-01-20","223577.75","78189.75","78796.77","62110.76","48483.29","70160.05","45175.6","30737.2","29338.67"
"2025-01-21","174806.89","80301.61","81441.82","58987.73","42396.64","72176.14","46194.84","30778.83","26544.68"
"2025-01-22","185689.41","88203.12","80361.71","63236.03","40805.37","60511.25","47694.85","34079.9","29981.94"
"2025-01-23","468683.45","90396.52","82907.17","78706.07","45860.41","74089.82","53422.62","34020.1","65396.14"
"2025-01-24","569290.95","113529.21","116503.75","118547.49","120466.29","105400.08","91771.35","87181.64","100615.22"
"2025-01-25","431858.85","81187.46","93545.55","100412.63","129528.55","91542.9","69915.73","36107.27","52595.87"
"2025-01-26","350506.49","122582.6","75444.11","74836.19","62464.22","81802.94","67128.61","30303.59","44082.72"
"2025-01-27","260986.64","124201.63","76324.18","64603.16","53286.86","83692.27","55147.98","47680.37","34240.13"
"2025-01-28","255306.18","105572.1","76336.43","68740.93","58652.03","104413.38","52687.54","47931.36","36875.37"
"2025-01-29","263126.63","104286.17","82813.48","82361.52","52713.5","113401.35","55558.69","47449.66","34886.04"
"2025-01-30","274068.79","113739.28","82182.46","89078.03","52782.11","125807.56","49907.81","40342.18","38164.54"
"2025-01-31","342557.06","113197.79","90559.8","109636.31","75543.08","128869.68","56330.58","42023.33","56048.82"
"2025-02-01","266915.29","90732.46","72843.39","100213.34","138667.21","126655.99","57841.49","44800.34","37430.05"
"2025-02-02","228052.28","124820.56","66743.19","70332.71","75017.83","85551.58","50034.45","41386.03","31938.53"
"2025-02-03","193561.49","99260.34","76727.66","64855.68","51430.92","72964.33","43209.93","38152.48","28436.38"
"2025-02-04","179679.93","79495.17","75541.72","57591.82","46164.98","62984.2","42835.45","34449.01","22109.35"
"2025-02-05","167009.38","100063.89","81062.95","62180.2","66403.5","73385.49","46321.63","34892.93","21460.43"
"2025-02-06","217600.63","88741.41","73708.85","63277.77","52518.68","69198.19","43584.22","31094.99","34309.66"
"2025-02-07","301325.26","98370.98","87282.07","70945.95","64011.62","84461.92","42928.1","49751.51","42673.1"
"2025-02-08","223236.72","84229.49","74255.14","68718.32","49474.02","83699.17","62187.41","40647.96","34131.27"
"2025-02-09","194889.32","106289.42","79138.39","64551.95","48963.61","63831.57","54538.23","30375.51","24454.6"
"2025-02-10","187540.58","96660.3","82995.15","62501.22","58253.26","72908.32","44848.77","25484.49","27864.66"
"2025-02-11","181674.82","58782.33","81286.2","55560.92","63612.91","70211.06","45629.78","33232.87","30395.03"
"2025-02-12","156496.27","52958.62","79588.87","58275.44","51210.16","71098.35","54839.71","24943.97","29377.94"
"2025-02-13","202329.03","59638.18","84675.59","69374.37","45427.55","69782.61","58135.63","32781.51","32589.98"
"2025-02-14","261629.54","71151.04","80168.41","81992.35","69013.43","74691.44","73956.69","33072.56","49969.34"
"2025-02-15","229300.52","57503.35","68928.89","80062.37","56635.16","75456.54","67741.89","30505.69","39333.07"
"2025-02-16","207314.56","62546.04","67074.49","70495","44777.67","59203.61","59966.4","23132.43","38104.3"
"2025-02-17","200067.45","45856.33","77184.78","61045.3","37752.92","52228.87","48309.77","27532.43","31900.91"
"2025-02-18","165987.69","48307.93","70522.5","56707.81","27838.85","57876.11","46544.97","18858.19","22858.93"
"2025-02-19","186465.95","56634.74","69274.63","63851.92","28150.37","54499.52","50353.18","21783.47","26398.99"
"2025-02-20","329477.9","64503.39","70462.34","65963.98","32095.63","57593.55","48251.15","25959.12","39852.05"
"2025-02-21","376436.5","88506.33","87108.05","86415.39","60759.38","68528.16","67225.85","42537.82","57489.52"
"2025-02-22","269461.09","68027.82","72554.92","68940.63","79742.33","61764.6","60255.6","23671.63","38224.17"
"2025-02-23","243863.48","110460.08","62737.32","63159","45943.99","54965.24","58395.2","23564.74","35455.9"
"2025-02-24","201610.18","82266.13","89460.36","56635.06","39937.86","53760.91","46575.41","22591.78","26964.26"
"2025-02-25","194392.83","77311.15","65031.25","55104.87","37329.44","57146.64","51535.53","24565.96","23989.57"
"2025-02-26","209058.85","82294.08","71929.04","62191.06","37343.96","51322.43","51721.52","29447.34","25495.88"
"2025-02-27","218054.04","127878.32","76609.04","63446.33","37871.07","52719.91","51556.98","46519.12","30397.53"
"2025-02-28","302980.43","166651.08","91488.09","87609","77891.08","69068.07","41746.27","86188.05","40033.91"
"2025-03-01","206898.12","101959.51","80940.64","75241.22","108741.22","68814.17","43078.46","60988.68","27968.36"
"2025-03-02","187720.58","128482.11","63539.53","64524.2","54557.09","53240.87","35980.96","41160.33","23037.55"
"2025-03-03","170940.76","86632.64","73121.58","48556.08","42896.45","48381.37","29721.17","36193.54","19489.4"
"2025-03-04","161102.27","78600.98","65728.09","48916.83","36324.5","38702.61","29260.05","37218.32","15259.55"
"2025-03-05","143017.55","88916.41","64308.89","49899.03","34544.52","30817.46","33290.45","40625.56","16880.48"
"2025-03-06","287802.63","106700.55","70688.5","55405.04","35273.79","37300.77","33620.96","37701.47","29741.09"
"2025-03-07","548869.94","113595.06","98945.55","101106.43","88713.51","84665.01","79362.62","67558.52","63821.03"
"2025-03-08","557297.42","109281.06","87449.21","109235.45","129572.4","79596.59","76698.17","70810.57","67821.66"
"2025-03-09","415414.75","144867.88","81393.67","83186.8","76530.13","65877.36","63219.91","49412.26","50987.54"
"2025-03-10","317514.23","100104.12","104266.42","79618.05","66746.27","75972.99","57207.09","53687.59","37456.84"
"2025-03-11","336023.41","103577.02","89054.97","75648.11","65743.52","64676.55","52746.71","68829.64","44813.72"
"2025-03-12","397387.63","161764.4","87155.14","97428.91","101420.25","81038.99","60703.64","64215.64","49910.2"
"2025-03-13","618920.92","145943.96","91440.1","101067.09","166474.61","99442.74","61926.17","62721.3","83542.08"
"2025-03-14","775946.14","133606.33","104163.94","138327.87","218456.56","167433.72","79390.55","101084.01","115865.89"
"2025-03-15","533739.74","120331.04","79447.3","121744.58","151426.17","110190.15","77412.21","88972.02","83207.89"
"2025-03-16","442562.86","155961.71","74268.96","101814.8","111652.23","93648.1","57657.38","66806.23","51188.21"
"2025-03-17","373613.79","107511.69","83773.32","92375.5","73987.49","87272.06","55505.49","49961.93","49826.34"
"2025-03-18","296669.3","102530.52","77667.19","89339.79","54739.12","83735.26","53037.41","45677.09","39216.23"
"2025-03-19","296682.63","105457.59","82754.43","77694.01","61400.42","81935.56","50565.16","49037.38","38310.18"
"2025-03-20","466644.27","119597.62","81026.56","96508.85","59092.46","74136.78","50531.04","66144.71","90260.69"
"2025-03-21","645898.48","133558.22","105819.84","124828.33","81664.15","90378.68","66167.8","122588.13","114658.29"
"2025-03-22","531805.21","116445.97","96159.42","104875.51","78699.28","81141.98","59289.66","79143.25","60322.45"
"2025-03-23","437356.76","139285.46","79645.31","91465.61","60553.01","62906.43","58166.49","43718.43","51650.05"
"2025-03-24","367001.78","107356.1","100969.33","75958.96","48462.69","59194.76","51676.17","49182.81","49881.53"
