"날짜","인도네시아 DAU","미국 DAU","브라질 DAU","필리핀 제도 DAU","멕시코 DAU","러시아 DAU","베트남 DAU","태국 DAU","말레이시아 DAU"
"2025-01-01","13798381","17791617","15652007","8429359","7750718","7554305","7412941","4975993","2036098"
"2025-01-02","12363971","15132713","13846111","7984816","7035561","7240629","5281781","4200747","1879564"
"2025-01-03","12904538","16051970","13498315","7838196","6766978","7368163","6246920","4271522","2171012"
"2025-01-04","13701152","16769479","14270911","7628474","7218291","7190150","6273457","4690555","2376352"
"2025-01-05","12853786","17512268","14865391","7662123","7156749","7380905","6428019","4685586","2293583"
"2025-01-06","10653105","14771127","13994155","6457773","7405723","7026044","5788798","3648785","2164519"
"2025-01-07","10647857","13085798","14291956","6361947","7607652","7356031","5199010","3713702","1914100"
"2025-01-08","10464663","14122353","14408231","6490097","7558967","7026286","5255832","4135569","1759470"
"2025-01-09","9867557","13023804","14524113","6505729","6877801","6535882","5375307","3961764","1916851"
"2025-01-10","11778477","13646045","14693475","6826056","7060920","6871256","5434635","4503466","2111421"
"2025-01-11","13092778","15676619","15503031","7935976","7528798","7416826","6266332","5145287","2412318"
"2025-01-12","13115441","16141205","15854032","7688202","8060984","6974155","5566539","4837273","2381738"
"2025-01-13","9951755","13035914","14412573","6002748","6896402","6109961","5320467","4095072","2070894"
"2025-01-14","10213293","12240178","14242776","6087401","6139220","5714000","4839329","3966532","1938842"
"2025-01-15","9441107","11272099","14396593","5595927","6031849","5738651","5249974","4479118","1974311"
"2025-01-16","9659381","11544884","14555778","5877135","5782501","5696028","4888718","4918943","2024417"
"2025-01-17","11301249","12370325","13594220","6821222","6140167","6229179","5297541","4148910","2304707"
"2025-01-18","13052201","15140672","14286949","6871283","7807065","7295281","5666044","4501818","2557806"
"2025-01-19","12890886","16430462","14624162","6986605","7677159","6789139","5803957","4189716","2571074"
"2025-01-20","10608361","15489082","13353339","5749796","6496020","5751207","4726275","3609671","2495787"
"2025-01-21","10041120","13124644","12847793","5581980","6532715","5729444","5705978","3493199","2543949"
"2025-01-22","9699619","12366374","13379945","5709637","6128790","5659407","5720210","3767678","2499287"
"2025-01-23","9358709","11977701","13137313","5663252","5661876","5784762","6340965","3340342","2580853"
"2025-01-24","11701376","12885663","13504669","6173731","6390653","6470941","6082743","4324021","2692070"
"2025-01-25","13445387","15679145","14179962","7509167","7315607","7342097","6135895","4496531","2643804"
"2025-01-26","14335437","15987808","14472735","6907997","8232223","6753138","6394782","4336417","2654210"
"2025-01-27","14430340","12605424","13273961","5694524","5927303","6002181","6317193","3743882","2683039"
"2025-01-28","14095286","11666723","13456952","6220618","5642727","5903429","5842687","3729549","2774911"
"2025-01-29","13833957","12474435","14418908","7013961","6100862","6016961","6109297","3925117","2948714"
"2025-01-30","11264687","11502644","13575041","6049013","5687221","6193850","6633469","3222065","2793276"
"2025-01-31","11500363","12181357","13456291","6703957","7199341","6406241","6564801","3539958","2671842"
"2025-02-01","13250705","15071742","14133229","7239290","6957746","7077993","6514715","3722256","2886198"
"2025-02-02","13533294","14841362","15195774","6708342","7766571","6953479","7220090","4539328","2606118"
"2025-02-03","10028573","11842191","12196771","5678812","7048391","5963504","4909502","3991321","2647134"
"2025-02-04","10063869","12154232","12365916","5382253","6085164","6028581","4698230","3660560","2575402"
"2025-02-05","9422861","11566566","11664822","5269365","6108732","5990746","4912020","3667380","2752315"
"2025-02-06","10331952","12438456","11627151","5272644","5545461","5954800","4442863","3587953","2324991"
"2025-02-07","11210900","11720907","11925186","6133373","6181724","6663623","5034004","3780289","2500346"
"2025-02-08","13365652","15096142","13697638","6606854","7413000","7543081","5745258","4798445","2615707"
"2025-02-09","13151538","16188182","14228567","6918982","8310702","6866931","5792170","4343596","2755624"
"2025-02-10","9952401","12832470","11301629","5454157","6189374","6230355","4652335","3741377","2432701"
"2025-02-11","9864458","11363942","10632519","5752717","5549522","6178981","4212552","3836614","2574413"
"2025-02-12","10004894","11715812","10980757","5571634","5700226","6209005","4862091","3922119","2602020"
"2025-02-13","9329758","11137235","10624189","5165098","5064443","6127709","4767385","3959171","2534230"
"2025-02-14","11529451","13219756","10981062","6121397","5756265","6661198","5595329","4274452","2591272"
"2025-02-15","12818152","15159343","14361319","6965056","6863071","7447684","5601858","4873644","2767210"
"2025-02-16","12826834","15871484","14743780","6702829","7534252","7295459","6102880","4115110","2429359"
"2025-02-17","10164607","14881347","11480258","5503999","6177326","6400633","5730615","3826472","1632796"
"2025-02-18","9714381","13008016","11495948","5797827","5945097","6409508","4335416","3607570","1575400"
"2025-02-19","10106294","12203166","11318458","5388132","5329911","6403888","4645796","3629655","1592277"
"2025-02-20","10524307","12074871","10677306","5377643","5700608","6613354","4839620","3416916","1673290"
"2025-02-21","11900620","12568412","10948244","6214003","5384647","6888410","4410473","4189888","2099058"
"2025-02-22","13919448","14897633","14045402","6979200","6921291","7455430","4971217","4437349","2498747"
"2025-02-23","14333683","14982135","14285539","6675021","7330650","7247744","5037123","4598028","2510455"
"2025-02-24","11375573","11467806","10769367","6110354","6169526","6595531","4037316","3518769","1613221"
"2025-02-25","11010744","11132825","10491604","6162159","5209598","6265800","3869641","3592707","1717880"
"2025-02-26","12773237","10859013","10078463","5524099","5655546","6116163","3859074","3776060","1638630"
"2025-02-27","12953832","10635995","10254399","5730046","5686110","6240045","3916058","3367140","1582149"
"2025-02-28","14594273","11284690","11315846","6505742","6543834","6766547","4687170","3894668","1988889"
"2025-03-01","15659797","14387618","14169254","7130063","7407920","7354724","5878080","4796472","2862844"
"2025-03-02","15476955","14987615","14227607","6574051","6858115","6911925","5395596","4700315","2553972"
"2025-03-03","13904888","12087898","13901200","6030351","5988647","6179178","4212586","4400950","2030681"
"2025-03-04","13822700","11121670","13677551","5597289","5802620","6422335","4061613","4040449","1761149"
"2025-03-05","12819922","11297559","13558543","5751693","5433456","6520715","4027796","4222727","1663626"
"2025-03-06","12554385","11235592","11650679","5786215","5848359","6271472","3934047","4551559","1711409"
"2025-03-07","14359037","12351510","11857467","6250059","6372566","7316751","4856607","4743460","2098907"
"2025-03-08","15709410","15230567","14006308","6755916","7021205","7606587","5095813","4994417","2712253"
"2025-03-09","14985616","14484433","14344158","6910357","8023684","7299221","5176001","5244646","2589208"
"2025-03-10","12876013","11317541","10875653","5487072","5867358","6407124","4443626","4074655","1684586"
"2025-03-11","12888035","11368527","10456305","5450187","6036738","6395347","4005873","3879261","1765680"
"2025-03-12","12696220","11777763","10450868","5460581","5519213","6083382","3846300","4634516","1745069"
"2025-03-13","12814444","11672688","10132382","5592993","5938439","6627650","4269243","4822634","1941478"
"2025-03-14","14312712","13393374","11103770","6259151","6481201","7075438","5168438","4934468","2291260"
"2025-03-15","15330895","14587242","14300180","7118412","7502356","7553195","5321683","4900223","2630117"
"2025-03-16","14843415","14992613","14500595","6991262","7623725","7083069","5001366","4814002","2541133"
"2025-03-17","13838476","11979277","11213584","5732658","7742748","6486520","4391578","4526653","2201340"
"2025-03-18","13499811","11500679","9913787","5816184","5643388","6425009","4009218","4876005","2429575"
"2025-03-19","14105291","12033124","10921793","5637127","5659394","6442525","3926588","4819412","1876024"
"2025-03-20","14783826","11483317","10339878","5935518","5865908","6713472","4052656","5170288","2019714"
"2025-03-21","15804276","13357857","10908415","6456975","6551571","7176114","4475738","5063623","2354881"
"2025-03-22","17143336","15192805","13787185","6901963","6796036","7615202","5215610","5159029","2734921"
"2025-03-23","17171940","14941460","14271909","7208680","7097025","7420181","5707450","5450833","2324769"
"2025-03-24","16168422","12902430","11051586","6068821","5873055","7289069","4550053","5207797","1935690"
"2025-03-25","15947966","11992605","10612913","5958159","5518135","7133690","4358886","5591235","1979015"
"2025-03-26","16488818","11317803","10578039","6277665","5686870","7251850","4520162","4971393","1837829"
"2025-03-27","16364903","10994620","10146049","6213973","5232512","7463810","5047665","5455367","1919126"
"2025-03-28","17640101","12352882","10879118","6845233","6895376","7614295","4485718","5389502","2487347"
"2025-03-29","18073212","14834870","13766683","7309007","7074114","7985933","5830452","5111384","2992262"
"2025-03-30","18533550","15704814","14248457","7315830","7142808","7637062","6725529","5604286","2918338"
"2025-03-31","18952404","13392764","11054175","6919399","5625718","6836794","5403461","5503894","3117563"
"2025-04-01","18593934","11990491","10872577","7323983","5621166","6732253","4922433","4984201","3097369"
"2025-04-02","18211714","11544992","10398116","6782182","5840913","6843389","4733239","5159099","3020199"
"2025-04-03","18355445","11388084","10074114","6818817","5488443","6689169","4473882","5171363","2887160"
"2025-04-04","18341470","12346716","10918815","7314042","5935821","7288672","4587471","5211120","2981402"
"2025-04-05","18227433","15036626","13480692","7751720","6745354","7868779","5305560","5192671","2932438"
"2025-04-06","18100728","14579523","14395688","7685338","6930437","7797821","6740025","5819379","2531983"
"2025-04-07","17465915","11934071","10397276","7378094","5269607","7180222","6181021","5026718","1850374"
"2025-04-08","16743776","10835539","9870510","7693341","5242717","7177115","4886401","5410607","1895818"
"2025-04-09","15745349","10693553","9979566","7721366","5006946","7086999","4543254","5272195","1564601"
"2025-04-10","15179999","10400063","9867901","7312107","5490231","7113229","4479001","5827187","1847416"
"2025-04-11","16298246","11442268","10459411","7636781","5700346","7924855","4772012","5947627","2196322"
"2025-04-12","18245950","13937984","13498072","8093422","7200223","8769881","5516991","5500882","2687090"
"2025-04-13","18064492","14203289","14371807","7780164","8004940","8224945","5832617","5147964","2599988"
"2025-04-14","15164771","11513463","10581216","7798452","7327268","7191461","4501718","5251492","1876750"
"2025-04-15","15020900","11422468","10292884","7917396","7427030","7317564","4410708","5140698","1746593"
"2025-04-16","14969738","11805014","10801317","8214399","7408918","7289582","4431721","5225792","1758143"
"2025-04-17","16788759","12256963","12564100","8386497","7565301","7019740","4405564","5513861","2096641"
