"날짜","미국 수익 ($)","대한민국 수익 ($)","멕시코 수익 ($)","영국 수익 ($)","독일 수익 ($)","태국 수익 ($)","인도네시아 수익 ($)","필리핀 제도 수익 ($)","칠레 수익 ($)"
"2025-01-01","2873884.47","298741.43","194787.91","296972.69","143469.22","90976.03","26744.01","73184.87","112748.62"
"2025-01-02","2010091.55","149831.02","220499.76","276995.05","123872.32","68601.79","37757.69","79038.25","82495"
"2025-01-03","2594486.67","146920.41","188753.86","326105.17","133155.43","66495.09","38780.34","81036.58","72512.22"
"2025-01-04","2225346.96","157291.24","249641.15","298483.49","117054.07","84442.36","30668.55","72122.25","78211.76"
"2025-01-05","1899652.38","122001.98","196708.14","306373.21","113662.52","90026.09","31617.71","66558.86","86080.42"
"2025-01-06","1864968.08","110928.96","301772.03","239135.83","95621.13","42200.2","34791.12","53431.91","81323.95"
"2025-01-07","1760108.43","141328.69","154378.25","178262.58","84859.79","52514.4","28975.3","59764.46","101762.14"
"2025-01-08","1418802.52","162357.22","178907.25","141735.44","80751.38","61104.28","25755.91","54448.55","71488.81"
"2025-01-09","1519681.02","179950.04","179993.09","138155.47","77525.53","55899.14","22370.01","43510.02","35020.25"
"2025-01-10","2303523.4","247532.54","206614.62","181699.08","95824.79","110363.3","24995.12","62684.49","25139.05"
"2025-01-11","2440441.33","258833.93","203687.95","247008.77","112485.35","103986.75","30308.71","64155.35","26383.92"
"2025-01-12","2379348.8","174728.48","193815.18","244832.4","111274.7","106752.05","23038.7","74599.14","35211.07"
"2025-01-13","1534128.28","177578.9","166936.91","148308.15","78295.66","48759.36","21645.04","63936.49","29674.5"
"2025-01-14","1554549.18","181000.66","151502.56","165242.81","82063.91","41363.96","20530.79","59855.67","30296.77"
"2025-01-15","1644809.62","173319.08","136539.89","139722.72","83306.55","46647.72","17280.08","44722.79","30858.58"
"2025-01-16","1449114.19","167471.91","82724.09","129866.15","77996.9","39351.33","18457.51","42375.05","30209.9"
"2025-01-17","1846714.1","159716.53","118229.82","150525.34","95891.67","48950.53","21382.39","44860.44","33017.91"
"2025-01-18","2027602.02","173198.45","114913.68","203413.67","114414.58","62867.82","26036.53","49548.47","31760.21"
"2025-01-19","2148418.06","126382.87","111075.95","207008.05","109754.86","59729.98","23777.31","52656.58","32140.12"
"2025-01-20","2206579.64","129868.58","115473.33","172897.69","84102.17","34923.16","22492.41","43755.4","30257.3"
"2025-01-21","1683244.91","134666.91","105368.77","157686.76","78709.07","30676.7","17304.78","38787.45","32801.4"
"2025-01-22","1771274.45","135983.25","103897.81","143181.84","83134.18","33623.59","16797.38","40732.41","31497.35"
"2025-01-23","1397004.29","154508.28","100344.88","135963.96","87039.84","37281.13","18264.42","58862.61","35622.31"
"2025-01-24","1714111.06","188135.04","113701","174667.27","95156.63","51505.74","22389.72","51361.22","33851.51"
"2025-01-25","2119434.33","194812.13","132024.25","263212.31","99024.03","70623.8","32837.77","54668.74","33598.43"
"2025-01-26","2003839.19","151231.61","129275.88","248507.59","94372.39","58254.5","28265.28","46629.91","32388.19"
"2025-01-27","1489406.76","152056.02","113736.7","196375.91","72754.46","46384.58","31128.13","43570.03","31976.2"
"2025-01-28","1663323.11","211715.05","106072.73","146409.75","69166.08","51752.77","34266.05","44359.13","32347.12"
"2025-01-29","1637181.88","319257","95922.02","164698.96","77911.16","49276.47","29798.91","51879.13","31856.24"
"2025-01-30","1445977.37","300242.35","116916.99","158327.19","83116.48","37145.54","27662.38","45889.05","30831.21"
"2025-01-31","1751534.73","398467.63","119421.33","155461","110901.84","53500.11","30601.12","40374.7","31233.3"
"2025-02-01","2046110.81","342636.91","138352.14","234687.16","124536.7","81097.87","32169.35","45525.73","35850.04"
"2025-02-02","1904390.02","232998.77","121447.89","262606.11","103786.61","65259.41","29238.51","48028.78","34828.26"
"2025-02-03","1410833.86","185662.77","124670.95","156939.87","87204.39","45810.39","24602.34","43389.33","33100.84"
"2025-02-04","1343904.6","183928.6","91706.47","141327.11","82964.79","41527.57","25318.94","42889.76","34849.16"
"2025-02-05","1379836.54","201788.91","82341.58","126735.09","86250.45","33990.73","19649.1","42142.46","34023.87"
"2025-02-06","1441688.22","194558.55","86234.75","134627.73","81981.41","34038.51","20907.66","40670.49","36065.41"
"2025-02-07","2052474.62","175361.26","107273.92","195747.52","92156.8","47378.31","22669.68","50299.95","35190.36"
"2025-02-08","2150206.13","183296.28","136592.15","243371.74","99456.24","68671.65","27617.99","47616.73","36809.48"
"2025-02-09","2280480.08","143839.49","147391.79","224982.83","99035.61","75225.57","26280.72","47335.54","37865.67"
"2025-02-10","1767254.33","151105.02","116240.9","162851.37","77182.41","54016.09","20669.81","40096.12","35750.78"
"2025-02-11","1334388.11","149106.61","82433.64","150035.29","73487.96","51222.27","25987.97","44914.78","68641.6"
